資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
20-052-01	四種相違疏本文	1	1	許	許	（兩所共）許	（兩所共）許			4	1	〔朱〕平新濁	＊＊＊平新濁							04-01：001	首欠。前接字は大正新修大蔵経No. 1840因明入正理論疏によって補う。朱双点斜めに配置。
20-052-01	四種相違疏本文	2	2	實	實	實徳業上	實徳業上			1	2	〔朱〕入濁	入濁＊フ入濁平濁							04-01：001	
20-052-01	四種相違疏本文	3	2	徳	徳	實徳業上	實徳業上			2	2	□（入カ）	入濁＊フ入濁平濁							04-01：001	平声位置、入声位置虫損。入声か
20-052-01	四種相違疏本文	4	2	業	業	實徳業上	實徳業上			3	2	〔朱〕フ入濁	入濁＊フ入濁平濁							04-01：001	
20-052-01	四種相違疏本文	5	2	上	上	實徳業上	實徳業上			4	2	〔朱〕平濁	入濁＊フ入濁平濁							04-01：001	
20-052-01	四種相違疏本文	6	3	能	能	能非無性	能非無性			1	2	〔朱〕去	去上上平							04-01：001	
20-052-01	四種相違疏本文	7	3	非	非	能非無性	能非無性			2	1	〔朱〕上	去上上平							04-01：001	
20-052-01	四種相違疏本文	8	3	無	無	能非無性	能非無性			3	1	〔朱〕上	去上上平							04-01：001	
20-052-01	四種相違疏本文	9	3	性	性	能非無性	能非無性			4	2	〔朱〕平	去上上平							04-01：001	
20-052-01	四種相違疏本文	10	4	故	故	故成㪽別	故成㪽別			1	1	〔朱〕平	平去濁平入濁							04-01：001	
20-052-01	四種相違疏本文	11	4	成	成	故成㪽別	故成㪽別			2	2	〔朱〕去濁	平去濁平入濁							04-01：001	
20-052-01	四種相違疏本文	12	4	㪽	㪽	故成㪽別	故成㪽別			3	1	〔朱〕平	平去濁平入濁							04-01：001	
20-052-01	四種相違疏本文	13	4	別	別	故成㪽別	故成㪽別			4	2	〔朱〕入濁	平去濁平入濁							04-01：001	
20-052-01	四種相違疏本文	14	5	若	若	若説大有	若説大有			1	2	〔朱〕入	入入平濁平							04-01：001	
20-052-01	四種相違疏本文	15	5	説	説	若説大有	若説大有			2	2	〔朱〕入	入入平濁平							04-02：002	
20-052-01	四種相違疏本文	16	5	大	大	若説大有	若説大有			3	2	〔朱〕平濁	入入平濁平							04-02：002	
20-052-01	四種相違疏本文	17	5	有	有	若説大有	若説大有			4	1	〔朱〕平	入入平濁平							04-02：002	
20-052-01	四種相違疏本文	18	6	㪽	㪽	㪽別不成	㪽別不成			1	1	〔朱〕平	平入濁上毘濁							04-02：002	
20-052-01	四種相違疏本文	19	6	別	別	㪽別不成	㪽別不成			2	2	〔朱〕入濁	平入濁上毘濁							04-02：002	
20-052-01	四種相違疏本文	20	6	不	不	㪽別不成	㪽別不成			3	1	〔朱〕上	平入濁上毘濁							04-02：002	
20-052-01	四種相違疏本文	21	6	成	成	㪽別不成	㪽別不成			4	2	〔朱〕毘濁	平入濁上毘濁							04-02：002	
20-052-01	四種相違疏本文	22	7	囙	囙	囙犯隨一	囙犯随一			1	2	〔朱〕去	去平濁去濁入							04-02：002	
20-052-01	四種相違疏本文	23	7	犯	犯	囙犯隨一	囙犯随一			2	2	〔朱〕平濁	去平濁去濁入							04-02：002	
20-052-01	四種相違疏本文	24	7	隨	隨	囙犯隨一	囙犯随一			3	2	〔朱〕去濁	去平濁去濁入							04-02：002	
20-052-01	四種相違疏本文	25	7	一	一	囙犯隨一	囙犯随一			4	2	〔朱〕入	去平濁去濁入							04-02：002	
20-052-01	四種相違疏本文	26	8	此	此	此之有性	此之有性			1	1	〔朱〕平	平上平平							04-02：002	
20-052-01	四種相違疏本文	27	8	之	之	此之有性	此之有性			2	1	〔朱〕上	平上平平							04-02：002	
20-052-01	四種相違疏本文	28	8	有	有	此之有性	此之有性			3	1	〔朱〕平	平上平平							04-02：002	
20-052-01	四種相違疏本文	29	8	性	性	此之有性	此之有性			4	2	〔朱〕平	平上平平							04-02：002	
20-052-01	四種相違疏本文	30	9	躰	躰	躰非即實	躰非即實			1	2	〔朱〕平	平上入入濁							04-03：003	
20-052-01	四種相違疏本文	31	9	非	非	躰非即實	躰非即實			2	1	〔朱〕上	平上入入濁							04-03：003	
20-052-01	四種相違疏本文	32	9	即	即	躰非即實	躰非即實			3	2	〔朱〕入	平上入入濁							04-03：003	
20-052-01	四種相違疏本文	33	9	實	實	躰非即實	躰非即實			4	2	〔朱〕入濁	平上入入濁							04-03：003	
20-052-01	四種相違疏本文	34	10	囙	囙	囙云有一實故	囙云有一實故			1	2	〔朱〕去	去毘平入入濁平							04-03：003	
20-052-01	四種相違疏本文	35	10	云	云	囙云有一實故	囙云有一實故			2	2	〔朱〕毘	去毘平入入濁平							04-03：003	
20-052-01	四種相違疏本文	36	10	有	有	囙云有一實故	囙云有一實故			3	1	〔朱〕平	去毘平入入濁平							04-03：003	
20-052-01	四種相違疏本文	37	10	一	一	囙云有一實故	囙云有一實故			4	2	〔朱〕入	去毘平入入濁平							04-03：003	
20-052-01	四種相違疏本文	38	10	實	實	囙云有一實故	囙云有一實故			5	2	〔朱〕入濁	去毘平入入濁平							04-03：003	
20-052-01	四種相違疏本文	39	10	故	故	囙云有一實故	囙云有一實故			6	1	〔朱〕平	去毘平入入濁平							04-03：003	
20-052-01	四種相違疏本文	40	11	勝	勝	勝論六句	勝論六句			1	2	〔朱〕平	平平入平							04-03：003	
20-052-01	四種相違疏本文	41	11	論	論	勝論六句	勝論六句			2	2	〔朱〕平	平平入平							04-03：003	
20-052-01	四種相違疏本文	42	11	六	六	勝論六句	勝論六句			3	2	〔朱〕入	平平入平							04-03：003	
20-052-01	四種相違疏本文	43	11	句	句	勝論六句	勝論六句			4	1	〔朱〕平	平平入平							04-03：003	
20-052-01	四種相違疏本文	44	12	束	束	束爲四類	束為四類			1	2	〔朱〕入	入上平平							04-04：004	
20-052-01	四種相違疏本文	45	12	爲	為	束爲四類	束為四類			2	1	〔朱〕上	入上平平							04-04：004	
20-052-01	四種相違疏本文	46	12	四	四	束爲四類	束為四類			3	1	〔朱〕平	入上平平							04-04：004	
20-052-01	四種相違疏本文	47	12	類	類	束爲四類	束為四類			4	2	〔朱〕平	入上平平							04-04：004	
20-052-01	四種相違疏本文	48	13	一	一	一無實	一無實			1	2	〔朱〕入	入上入濁							04-04：004	
20-052-01	四種相違疏本文	49	13	無	無	一無實	一無實			2	1	〔朱〕上	入上入濁							04-04：004	
20-052-01	四種相違疏本文	50	13	實	實	一無實	一無實			3	2	〔朱〕入濁	入上入濁							04-04：004	
20-052-01	四種相違疏本文	51	14	二	二	二有一實	二有一實			1	1	〔朱〕平	平平入入濁							04-04：004	
20-052-01	四種相違疏本文	52	14	有	有	二有一實	二有一實			2	1	〔朱〕平	平平入入濁							04-04：004	
20-052-01	四種相違疏本文	53	14	一	一	二有一實	二有一實			3	2	〔朱〕入	平平入入濁							04-04：004	
20-052-01	四種相違疏本文	54	14	實	實	二有一實	二有一實			4	2	〔朱〕入濁	平平入入濁							04-04：004	
20-052-01	四種相違疏本文	55	15	三	三	三有二實	三有二實			1	2	〔朱〕去	去平平入濁							04-04：004	
20-052-01	四種相違疏本文	56	15	有	有	三有二實	三有二實			2	1	〔朱〕平	去平平入濁							04-04：004	
20-052-01	四種相違疏本文	57	15	二	二	三有二實	三有二實			3	1	〔朱〕平	去平平入濁							04-04：004	
20-052-01	四種相違疏本文	58	15	實	實	三有二實	三有二實			4	2	〔朱〕入濁	去平平入濁							04-04：004	
20-052-01	四種相違疏本文	59	16	四	四	四有多實	四有多實			1	1	〔朱〕平	平平上入濁							04-05：005	
20-052-01	四種相違疏本文	60	16	有	有	四有多實	四有多實			2	1	〔朱〕平	平平上入濁							04-05：005	
20-052-01	四種相違疏本文	61	16	多	多	四有多實	四有多實			3	1	〔朱〕上	平平上入濁							04-05：005	
20-052-01	四種相違疏本文	62	16	實	實	四有多實	四有多實			4	2	〔朱〕入濁	平平上入濁							04-05：005	
20-052-01	四種相違疏本文	63	17	水	水	地水火風	地水火風			2	2	〔朱〕平	＊平平去							04-05：005	
20-052-01	四種相違疏本文	64	17	火	火	地水火風	地水火風			3	1	〔朱〕平	＊平平去							04-05：005	
20-052-01	四種相違疏本文	65	17	風	風	地水火風	地水火風			4	2	〔朱〕去	＊平平去							04-05：005	声点は圏点に見えるが、声点と区別はないか
20-052-01	四種相違疏本文	66	18	父	父	父母常極微	父母常極微			1	1	〔朱〕平濁	平濁平去濁入濁上	フ	フモ＊＊＊					04-05：005	仮名は■（判読不明）に上書き
20-052-01	四種相違疏本文	67	18	母	母	父母常極微	父母常極微			2	1	〔朱〕平	平濁平去濁入濁上	モ	フモ＊＊＊					04-05：005	
20-052-01	四種相違疏本文	68	18	常	常	父母常極微	父母常極微			3	2	〔朱〕去濁	平濁平去濁入濁上		フモ＊＊＊					04-05：005	
20-052-01	四種相違疏本文	69	18	極	極	父母常極微	父母常極微			4	2	〔朱〕入濁	平濁平去濁入濁上		フモ＊＊＊					04-05：005	
20-052-01	四種相違疏本文	70	18	微	微	父母常極微	父母常極微			5	1	〔朱〕上	平濁平去濁入濁上		フモ＊＊＊					04-05：005	
20-052-01	四種相違疏本文	71	19	空	空	空時方我意	空時方我意			1	2	〔朱〕去	去上濁去平濁平							04-05：005	
20-052-01	四種相違疏本文	72	19	時	時	空時方我意	空時方我意			2	1	〔朱〕上濁	去上濁去平濁平							04-06：006	
20-052-01	四種相違疏本文	73	19	方	方	空時方我意	空時方我意			3	2	〔朱〕去	去上濁去平濁平							04-06：006	
20-052-01	四種相違疏本文	74	19	我	我	空時方我意	空時方我意			4	1	〔朱〕平濁	去上濁去平濁平							04-06：006	
20-052-01	四種相違疏本文	75	19	意	意	空時方我意	空時方我意			5	1	〔朱〕平	去上濁去平濁平							04-06：006	
20-052-01	四種相違疏本文	76	20	并	并	并徳業和合	并徳業和合			1	2	〔朱〕去濁	去濁入フ入濁上フ入濁							04-06：006	
20-052-01	四種相違疏本文	77	20	徳	徳	并徳業和合	并徳業和合			2	2	〔朱〕入	去濁入フ入濁上フ入濁							04-06：006	
20-052-01	四種相違疏本文	78	20	業	業	并徳業和合	并徳業和合			3	2	〔朱〕フ入濁	去濁入フ入濁上フ入濁							04-06：006	
20-052-01	四種相違疏本文	79	20	和	和	并徳業和合	并徳業和合			4	2	〔朱〕上	去濁入フ入濁上フ入濁							04-06：006	
20-052-01	四種相違疏本文	80	20	合	合	并徳業和合	并徳業和合			5	2	〔朱〕フ入濁	去濁入フ入濁上フ入濁							04-06：006	
20-052-01	四種相違疏本文	81	21	皆	皆	皆名無實	皆名無實			1	2	〔朱〕去	去毘上入濁	カイ	カイ＊＊＊					04-06：006	
20-052-01	四種相違疏本文	82	21	名	名	皆名無實	皆名無實			2	2	〔朱〕毘	去毘上入濁		カイ＊＊＊					04-06：006	
20-052-01	四種相違疏本文	83	21	無	無	皆名無實	皆名無實			3	1	〔朱〕上	去毘上入濁		カイ＊＊＊					04-06：006	
20-052-01	四種相違疏本文	84	21	實	實	皆名無實	皆名無實			4	2	〔朱〕入濁	去毘上入濁		カイ＊＊＊					04-06：006	
20-052-01	四種相違疏本文	85	22	四	四	四本極微	四本極微			1	1	〔朱〕平	平平入濁上							04-06：006	
20-052-01	四種相違疏本文	86	22	本	本	四本極微	四本極微			2	2	〔朱〕平	平平入濁上							04-07：007	
20-052-01	四種相違疏本文	87	22	極	極	四本極微	四本極微			3	2	〔朱〕入濁	平平入濁上							04-07：007	
20-052-01	四種相違疏本文	88	22	微	微	四本極微	四本極微			4	1	〔朱〕上	平平入濁上							04-07：007	
20-052-01	四種相違疏本文	89	23	躰	躰	躰性雖多	躰性雖多			1	2	〔朱〕平	平平去上							04-07：007	
20-052-01	四種相違疏本文	90	23	性	性	躰性雖多	躰性雖多			2	2	〔朱〕平	平平去上							04-07：007	
20-052-01	四種相違疏本文	91	23	雖	雖	躰性雖多	躰性雖多			3	2	〔朱〕去	平平去上							04-07：007	
20-052-01	四種相違疏本文	92	23	多	多	躰性雖多	躰性雖多			4	1	〔朱〕上	平平去上							04-07：007	
20-052-01	四種相違疏本文	93	24	空	空	空時等五	空時等五			1	2	〔朱〕去	去上濁平上濁							04-07：007	
20-052-01	四種相違疏本文	94	24	時	時	空時等五	空時等五			2	1	〔朱〕上濁	去上濁平上濁							04-07：007	
20-052-01	四種相違疏本文	95	24	等	等	空時等五	空時等五			3	2	〔朱〕平	去上濁平上濁							04-07：007	
20-052-01	四種相違疏本文	96	24	五	五	空時等五	空時等五			4	1	〔朱〕上濁	去上濁平上濁							04-07：007	
20-052-01	四種相違疏本文	97	25	躰	躰	躰各唯一	躰各唯一			1	2	〔朱〕平	平入去入							04-07：007	
20-052-01	四種相違疏本文	98	25	各	各	躰各唯一	躰各唯一			2	2	〔朱〕入	平入去入							04-07：007	
20-052-01	四種相違疏本文	99	25	唯	唯	躰各唯一	躰各唯一			3	2	〔朱〕去	平入去入							04-07：007	
20-052-01	四種相違疏本文	100	25	一	一	躰各唯一	躰各唯一			4	2	〔朱〕入	平入去入							04-08：008	
20-052-01	四種相違疏本文	101	26	皆	皆	皆無實囙	皆無實囙			1	2	〔朱〕去	去上入濁去							04-08：008	
20-052-01	四種相違疏本文	102	26	無	無	皆無實囙	皆無實囙			2	1	〔朱〕上	去上入濁去							04-08：008	
20-052-01	四種相違疏本文	103	26	實	實	皆無實囙	皆無實囙			3	2	〔朱〕入濁	去上入濁去							04-08：008	
20-052-01	四種相違疏本文	104	26	囙	囙	皆無實囙	皆無實囙			4	2	〔朱〕去	去上入濁去							04-08：008	
20-052-01	四種相違疏本文	105	27	徳	徳	徳業和合	徳業和合			1	2	〔朱〕入	入フ入濁上フ入濁							04-08：008	
20-052-01	四種相違疏本文	106	27	業	業	徳業和合	徳業和合			2	2	〔朱〕フ入濁	入フ入濁上フ入濁							04-08：008	
20-052-01	四種相違疏本文	107	27	和	和	徳業和合	徳業和合			3	1	〔朱〕上	入フ入濁上フ入濁							04-08：008	
20-052-01	四種相違疏本文	108	27	合	合	徳業和合	徳業和合			4	2	〔朱〕フ入濁	入フ入濁上フ入濁							04-08：008	
20-052-01	四種相違疏本文	109	28	雖	雖	雖依於實	雖依於實			1	2	〔朱〕去	去上上入濁							04-08：008	
20-052-01	四種相違疏本文	110	28	依	依	雖依於實	雖依於實			2	1	〔朱〕上	去上上入濁							04-08：008	
20-052-01	四種相違疏本文	111	28	於	於	雖依於實	雖依於實			3	1	〔朱〕上	去上上入濁							04-08：008	
20-052-01	四種相違疏本文	112	28	實	實	雖依於實	雖依於實			4	2	〔朱〕入濁	去上上入濁							04-08：008	
20-052-01	四種相違疏本文	113	29	和	和	和合於實	和合於實			1	1	〔朱〕上	上フ入濁上入濁							04-08：008	
20-052-01	四種相違疏本文	114	29	合	合	和合於實	和合於實			2	2	〔朱〕フ入濁	上フ入濁上入濁							04-09：009	
20-052-01	四種相違疏本文	115	29	於	於	和合於實	和合於實			3	1	〔朱〕上	上フ入濁上入濁							04-09：009	
20-052-01	四種相違疏本文	116	29	實	實	和合於實	和合於實			4	2	〔朱〕入濁	上フ入濁上入濁							04-09：009	
20-052-01	四種相違疏本文	117	30	非	非	非以爲囙	非以為囙			1	1	〔朱〕上	上平上毘							04-09：009	
20-052-01	四種相違疏本文	118	30	以	以	非以爲囙	非以為囙			2	1	〔朱〕平	上平上毘							04-09：009	
20-052-01	四種相違疏本文	119	30	爲	為	非以爲囙	非以為囙			3	1	〔朱〕上	上平上毘							04-09：009	
20-052-01	四種相違疏本文	120	30	囙	囙	非以爲囙	非以為囙			4	2	〔朱〕毘	上平上毘							04-09：009	
20-052-01	四種相違疏本文	121	31	故	故	故此等類	故此等類			1	1	〔朱〕平	平平平平							04-09：009	
20-052-01	四種相違疏本文	122	31	此	此	故此等類	故此等類			2	1	〔朱〕平	平平平平							04-09：009	
20-052-01	四種相違疏本文	123	31	等	等	故此等類	故此等類			3	2	〔朱〕平	平平平平							04-09：009	
20-052-01	四種相違疏本文	124	31	類	類	故此等類	故此等類			4	2	〔朱〕平	平平平平							04-09：009	
20-052-01	四種相違疏本文	125	32	并	并	并名無實	并名無實			1	2	〔朱〕去濁	去濁毘上入濁							04-09：009	
20-052-01	四種相違疏本文	126	32	名	名	并名無實	并名無實			2	2	〔朱〕毘	去濁毘上入濁							04-09：009	
20-052-01	四種相違疏本文	127	32	無	無	并名無實	并名無實			3	1	〔朱〕上	去濁毘上入濁							04-09：009	
20-052-01	四種相違疏本文	128	32	實	實	并名無實	并名無實			4	2	〔朱〕入濁	去濁毘上入濁							04-10：010	
20-052-01	四種相違疏本文	129	33	大	大	大有同異	大有同異			1	2	〔朱〕平濁	平濁平去濁平							04-10：010	
20-052-01	四種相違疏本文	130	33	有	有	大有同異	大有同異			2	1	〔朱〕平	平濁平去濁平							04-10：010	
20-052-01	四種相違疏本文	131	33	同	同	大有同異	大有同異			3	2	〔朱〕去濁	平濁平去濁平							04-10：010	
20-052-01	四種相違疏本文	132	33	異	異	大有同異	大有同異			4	1	〔朱〕平	平濁平去濁平							04-10：010	
20-052-01	四種相違疏本文	133	34	有	有	名有一實	名有一實			2	1	〔朱〕平	＊平入入濁							04-10：010	
20-052-01	四種相違疏本文	134	34	一	一	名有一實	名有一實			3	2	〔朱〕入	＊平入入濁							04-10：010	
20-052-01	四種相違疏本文	135	34	實	實	名有一實	名有一實			4	2	〔朱〕入濁	＊平入入濁							04-10：010	
20-052-01	四種相違疏本文	136	35	能	能	倶能有於	倶能有於			2	2	〔朱〕毘	＊毘平上							04-10：010	
20-052-01	四種相違疏本文	137	35	有	有	倶能有於	倶能有於			3	1	〔朱〕平	＊毘平上							04-10：010	
20-052-01	四種相違疏本文	138	35	於	於	倶能有於	倶能有於			4	1	〔墨〕上〔朱〕上	＊毘平上							04-10：010	
20-052-01	四種相違疏本文	139	36	一	一	一一實故	一一實故			1	2	〔朱〕入	入入入濁平							04-10：010	
20-052-01	四種相違疏本文	140	36	一	一	一一實故	一一實故			2	2	〔朱〕入	入入入濁平							04-11：011	
20-052-01	四種相違疏本文	141	36	實	實	一一實故	一一實故			3	2	〔朱〕入濁	入入入濁平							04-11：011	
20-052-01	四種相違疏本文	142	36	故	故	一一實故	一一實故			4	1	〔朱〕平	入入入濁平							04-11：011	
20-052-01	四種相違疏本文	143	37	至	至	至劫成初	至劫成初			1	1	〔朱〕平	平フ入去濁上	シ	シ＊＊＊					04-11：011	
20-052-01	四種相違疏本文	144	37	劫	劫	至劫成初	至劫成初			2	2	〔朱〕フ入	平フ入去濁上		シ＊＊＊					04-11：011	
20-052-01	四種相違疏本文	145	37	成	成	至劫成初	至劫成初			3	2	〔墨〕去〔朱〕去濁	平フ入去濁上		シ＊＊＊					04-11：011	
20-052-01	四種相違疏本文	146	37	初	初	至劫成初	至劫成初			4	1	〔朱〕上	平フ入去濁上		シ＊＊＊					04-11：011	
20-052-01	四種相違疏本文	147	38	兩	兩	兩常極徴合	兩常極徴合			1	2	〔朱〕平	平去濁入濁上フ入濁							04-11：011	
20-052-01	四種相違疏本文	148	38	常	常	兩常極徴合	兩常極徴合			2	2	〔朱〕去濁	平去濁入濁上フ入濁							04-11：011	
20-052-01	四種相違疏本文	149	38	極	極	兩常極徴合	兩常極徴合			3	2	〔朱〕入濁	平去濁入濁上フ入濁							04-11：011	
20-052-01	四種相違疏本文	150	38	徴	徴	兩常極徴合	兩常極徴合			4	1	〔朱〕上	平去濁入濁上フ入濁							04-11：011	
20-052-01	四種相違疏本文	151	38	合	合	兩常極徴合	兩常極徴合			5	2	〔朱〕フ入濁	平去濁入濁上フ入濁							04-11：011	
20-052-01	四種相違疏本文	152	39	生	生	生第三子徴	生第三子徴			1	2	〔朱〕去	去平濁毘平上							04-11：011	
20-052-01	四種相違疏本文	153	39	第	第	生第三子徴	生第三子徴			2	2	〔朱〕平濁	去平濁毘平上							04-11：011	
20-052-01	四種相違疏本文	154	39	三	三	生第三子徴	生第三子徴			3	2	〔朱〕毘	去平濁毘平上							04-12：012	
20-052-01	四種相違疏本文	155	39	子	子	生第三子徴	生第三子徴			4	1	〔朱〕平	去平濁毘平上							04-12：012	
20-052-01	四種相違疏本文	156	39	徴	徴	生第三子徴	生第三子徴			5	1	〔朱〕上	去平濁毘平上							04-12：012	
20-052-01	四種相違疏本文	157	40	雖	雖	雖躰無常	雖躰無常			1	2	〔朱〕去	去平上毘濁							04-12：012	
20-052-01	四種相違疏本文	158	40	躰	躰	雖躰無常	雖躰無常			2	2	〔朱〕平	去平上毘濁							04-12：012	
20-052-01	四種相違疏本文	159	40	無	無	雖躰無常	雖躰無常			3	1	〔朱〕上	去平上毘濁							04-12：012	
20-052-01	四種相違疏本文	160	40	常	常	雖躰無常	雖躰無常			4	2	〔朱〕毘濁	去平上毘濁							04-12：012	
20-052-01	四種相違疏本文	161	41	量	量	量徳合故	量徳合故			1	2	〔朱〕平	平入フ入濁平							04-12：012	
20-052-01	四種相違疏本文	162	41	徳	徳	量徳合故	量徳合故			2	2	〔朱〕入	平入フ入濁平							04-12：012	
20-052-01	四種相違疏本文	163	41	合	合	量徳合故	量徳合故			3	2	〔朱〕フ入濁	平入フ入濁平							04-12：012	
20-052-01	四種相違疏本文	164	41	故	故	量徳合故	量徳合故			4	1	〔朱〕平	平入フ入濁平							04-12：012	
20-052-01	四種相違疏本文	165	42	不	不	不越囙量	不越囙量			1	1	〔朱〕上	上入去平		＊ヲツ＊＊					04-12：012	
20-052-01	四種相違疏本文	166	42	越	越	不越囙量	不越囙量			2	2	〔朱〕入	上入去平	ヲツ	＊ヲツ＊＊					04-12：012	
20-052-01	四種相違疏本文	167	42	囙	囙	不越囙量	不越囙量			3	2	〔朱〕去	上入去平		＊ヲツ＊＊					04-12：012	
20-052-01	四種相違疏本文	168	42	量	量	不越囙量	不越囙量			4	2	〔朱〕平	上入去平		＊ヲツ＊＊					04-12：012	
20-052-01	四種相違疏本文	169	43	名	名	名有二實	名有二實			1	2	〔朱〕去	去平平入濁							04-13：013	
20-052-01	四種相違疏本文	170	43	有	有	名有二實	名有二實			2	1	〔朱〕平	去平平入濁							04-13：013	
20-052-01	四種相違疏本文	171	43	二	二	名有二實	名有二實			3	1	〔朱〕平	去平平入濁							04-13：013	
20-052-01	四種相違疏本文	172	43	實	實	名有二實	名有二實			4	2	〔朱〕入濁	去平平入濁							04-13：013	
20-052-01	四種相違疏本文	173	44	自	自	自類衆多	自類衆多			1	1	〔朱〕平	平平去上新濁		＊ルイ＊＊					04-13：013	
20-052-01	四種相違疏本文	174	44	類	類	自類衆多	自類衆多			2	2	〔朱〕平	平平去上新濁	ルイ	＊ルイ＊＊					04-13：013	
20-052-01	四種相違疏本文	175	44	衆	衆	自類衆多	自類衆多			3	1	〔朱〕去	平平去上新濁		＊ルイ＊＊					04-13：013	
20-052-01	四種相違疏本文	176	44	多	多	自類衆多	自類衆多			4	1	〔朱〕上新濁	平平去上新濁		＊ルイ＊＊					04-13：013	
20-052-01	四種相違疏本文	177	45	各	各	各各有彼	各各有彼			1	2	〔朱〕入	入入平平新濁							04-13：013	
20-052-01	四種相違疏本文	178	45	各	各	各各有彼	各各有彼			2	2	〔朱〕入	入入平平新濁							04-13：013	
20-052-01	四種相違疏本文	179	45	有	有	各各有彼	各各有彼			3	1	〔朱〕平	入入平平新濁							04-13：013	
20-052-01	四種相違疏本文	180	45	彼	彼	各各有彼	各各有彼			4	1	〔朱〕平新濁	入入平平新濁							04-13：013	
20-052-01	四種相違疏本文	181	46	囙	囙	囙二極徴	囙二極徴			1	2	〔朱〕去	去平入濁上							04-13：013	
20-052-01	四種相違疏本文	182	46	二	二	囙二極徴	囙二極徴			2	1	〔朱〕平	去平入濁上							04-13：013	
20-052-01	四種相違疏本文	183	46	極	極	囙二極徴	囙二極徴			3	2	〔朱〕入濁	去平入濁上							04-13：013	
20-052-01	四種相違疏本文	184	46	徴	徴	囙二極徴	囙二極徴			4	1	〔朱〕上	去平入濁上							04-14：014	
20-052-01	四種相違疏本文	185	47	之	之	之㪽生故	之㪽生故			1	1	〔朱〕上	上平去平							04-14：014	
20-052-01	四種相違疏本文	186	47	㪽	㪽	之㪽生故	之㪽生故			2	1	〔朱〕平	上平去平							04-14：014	
20-052-01	四種相違疏本文	187	47	生	生	之㪽生故	之㪽生故			3	2	〔朱〕去	上平去平							04-14：014	
20-052-01	四種相違疏本文	188	47	故	故	之㪽生故	之㪽生故			4	1	〔朱〕平	上平去平							04-14：014	
20-052-01	四種相違疏本文	189	48	自	自	自此已後	自此已後			1	1	〔朱〕平濁	平濁平平平濁		＊＊イ＊					04-14：014	
20-052-01	四種相違疏本文	190	48	此	此	自此已後	自此已後			2	1	〔朱〕平	平濁平平平濁		＊＊イ＊					04-14：014	
20-052-01	四種相違疏本文	191	48	已	已	自此已後	自此已後			3	1	〔朱〕平	平濁平平平濁	イ	＊＊イ＊					04-14：014	
20-052-01	四種相違疏本文	192	48	後	後	自此已後	自此已後			4	1	〔朱〕平濁	平濁平平平濁		＊＊イ＊					04-14：014	
20-052-01	四種相違疏本文	193	49	初	初	初三三合	初三三合			1	1	〔墨〕去〔朱〕上	去上上入／上上上フ入濁		＊＊＊カウ					04-14：014	
20-052-01	四種相違疏本文	194	49	三	三	初三三合	初三三合			2	2	〔墨〕上〔朱〕上	去上上入／上上上フ入濁		＊＊＊カウ					04-14：014	
20-052-01	四種相違疏本文	195	49	三	三	初三三合	初三三合			3	2	〔墨〕上〔朱〕上	去上上入／上上上フ入濁		＊＊＊カウ					04-14：014	
20-052-01	四種相違疏本文	196	49	合	合	初三三合	初三三合			4	2	〔墨〕入〔朱〕フ入濁	去上上入／上上上フ入濁	〔院〕カウ	＊＊＊カウ					04-14：014	
20-052-01	四種相違疏本文	197	50	生	生	生第七子	生第七子			1	2	〔朱〕去	去平濁入平							04-14：014	
20-052-01	四種相違疏本文	198	50	第	第	生第七子	生第七子			2	2	〔朱〕平濁	去平濁入平							04-15：015	
20-052-01	四種相違疏本文	199	50	七	七	生第七子	生第七子			3	2	〔朱〕入	去平濁入平							04-15：015	
20-052-01	四種相違疏本文	200	50	子	子	生第七子	生第七子			4	1	〔朱〕平	去平濁入平							04-15：015	
20-052-01	四種相違疏本文	201	51	七	七	七七合生	七七合生			1	2	〔朱〕入	入入入去／入入入濁去		＊＊カフ＊					04-15：015	
20-052-01	四種相違疏本文	202	51	七	七	七七合生	七七合生			2	2	〔朱〕入	入入入去／入入入濁去		＊＊カフ＊					04-15：015	
20-052-01	四種相違疏本文	203	51	合	合	七七合生	七七合生			3	2	〔墨〕入〔朱〕入濁	入入入去／入入入濁去	カフ	＊＊カフ＊					04-15：015	
20-052-01	四種相違疏本文	204	51	生	生	七七合生	七七合生			4	2	〔朱〕去	入入入去／入入入濁去		＊＊カフ＊					04-15：015	
20-052-01	四種相違疏本文	205	52	第	第	第十五子	第十五子			1	2	〔朱〕平濁〔朱〕平濁	平濁フ入濁上濁平							04-15：015	やや薄い朱双点の下部に濃い朱双点
20-052-01	四種相違疏本文	206	52	十	十	第十五子	第十五子			2	2	〔朱〕フ入濁	平濁フ入濁上濁平							04-15：015	
20-052-01	四種相違疏本文	207	52	五	五	第十五子	第十五子			3	1	〔朱〕上濁	平濁フ入濁上濁平							04-15：015	
20-052-01	四種相違疏本文	208	52	子	子	第十五子	第十五子			4	1	〔朱〕平	平濁フ入濁上濁平							04-15：015	
20-052-01	四種相違疏本文	209	53	如	如	如是展轉	如是展轉			1	1	〔朱〕上	上平濁平平							04-15：015	
20-052-01	四種相違疏本文	210	53	是	是	如是展轉	如是展轉			2	1	〔朱〕平濁	上平濁平平							04-15：015	朱双点斜めに配置
